-,fluxes,reduced_costs
R02434__chlo,0.0,0.0
T_L_Tyrosine_V2__mitmem,5.121830036977981e-07,5.121830036977981e-07
TR0011455_PLAS__ermem,0.0,0.0
R01652__cytop,0.0,0.0
R00243__mito,-0.0152251131133406,-0.0152251131133406
PKS_C204__cytop,0.0001635619451775778,0.0001635619451775778
EX_C00188__dra,0.0,0.0
EX_C05839__dra,0.0,0.0
R03362__cytop,0.0,0.0
R04537__cytop,6.938893903907228e-18,6.938893903907228e-18
R02731__cytop,0.0,0.0
TO1000117_PLAS__plas,0.0,0.0
R00010__cytop,0.0,0.0
R07396__chlo,0.0,0.0
R00848__mito,0.00614924595360553,0.00614924595360553
T_CoA___chlomem,9.107298248878237e-18,9.107298248878237e-18
R08174__cytop,0.0,0.0
TO1000157_PLAS__plas,0.0,0.0
TO1000060_PLAS__plas,0.0,0.0
R12205__chlo,0.0,0.0
R07084__cytop,0.0,0.0
R07109__cytop,0.0,0.0
R08183__mito,0.0,0.0
R01731__chlo,0.001280990991911722,0.001280990991911722
R04355__mito,0.0,0.0
T_UDPG__chlomem,0.00045123013854960663,0.00045123013854960663
R06610__cytop,0.0,0.0
R03479__nucl,0.0,0.0
EX_C00899__dra,0.0,0.0
R00010__vacu,0.0,0.0
TO0000081_PLAS__ermem,0.0,0.0
TI3000142_PLAS__chlomem,7.172680771835442e-07,7.172680771835442e-07
R01626__chlo,0.0727753579766155,0.0727753579766155
EX_C00181__dra,0.0,0.0
R10039__cytop,0.0,0.0
R08600__extr,0.0,0.0
R05050__cytop,0.0,0.0
R05616__cytop,0.0,0.0
R00177__cytop,0.0020055106901543792,0.0020055106901543792
R10035__chlo,0.0,0.0
R00188__cytop,0.0009347137213623041,0.0009347137213623041
EX_C01019__dra,0.0,0.0
R03681__e_r_,0.0,0.0
R00502__cytop,0.0,0.0
R06267__chlo,0.0009869891746814988,0.0009869891746814988
R08190__pero,0.0,0.0
R04566__mito,0.0,0.0
R02250__cytop,0.0,0.0
R08163__cytop,0.0,0.0
R02480__chlo,0.0,0.0
R09540__mito,0.0,0.0
R01954__cytop,0.0016655097779706344,0.0016655097779706344
R07083__e_r_,0.0,0.0
T_7_Dehydrocholesterol__ermem,0.0,0.0
R06728__e_r_,0.0,0.0
R05553__cytop,1.9267128175141836e-06,1.9267128175141836e-06
R01218__cytop,0.0,0.0
R04716__cytop,0.0,0.0
R03530__cytop,0.0,0.0
R01039__cytop,0.0,0.0
T_Glycolate__chlomem,0.0015764358088925083,0.0015764358088925083
R09432__cytop,0.0,0.0
R00112__chlo,0.0179603836414462,0.0179603836414462
TZ2900041_PLAS__plas,0.0,0.0
R01229__cytop,0.0,0.0
T_AKGMALth__chlomem,0.009568600171956959,0.009568600171956959
R00351__pero,0.0,0.0
R06875__e_r_,0.0,0.0
T_L_Aspartate_V1__mitmem,-0.0260363661657526,-0.0260363661657526
R00573__cytop,0.0,0.0
R01641__cytop,0.0135927437066449,0.0135927437066449
R03458__chlo,2.7067974301798665e-06,2.7067974301798665e-06
R04224__chlo,0.0,0.0
R01220__mito,-8.673617379884035e-19,-8.673617379884035e-19
R06867__chlo,6.683808709530272e-05,6.683808709530272e-05
T_GLX__permem,0.0,0.0
R07024__chlo,0.0,0.0
R02887__cytop,0.0,0.0
R00139__cytop,0.0,0.0
R04463__cytop,0.006565491887187104,0.006565491887187104
R02107__cytop,0.0,0.0
R00897__cytop,0.005497093448468798,0.005497093448468798
R04955__mito,0.0,0.0
RXN_11887__e_r_,0.0,0.0
R04742__pero,0.0,0.0
R01274__pero,0.0,0.0
R07079__e_r_,0.0,0.0
R10056__nucl,0.0,0.0
R04430__cytop,0.0,0.0
R01216__mito,0.006740979030380475,0.006740979030380475
AMOBR__mito,1.8099492509244348e-06,1.8099492509244348e-06
R03664__cytop,0.00029377409298014275,0.00029377409298014275
R00344__mito,0.011772634337194467,0.011772634337194467
TO0000667_PLAS__plas,0.0,0.0
TO1000054_PLAS__plas,0.0,0.0
R00842__cytop,-0.0011399098539365937,-0.0011399098539365937
R01786__cytop,0.0,0.0
R01773__chlo,0.0,0.0
R02853__mito,0.0,0.0
R00372__cytop,-0.008483575052096869,-0.008483575052096869
T_Ammonia_V2__mitmem,0.009662521894163747,0.009662521894163747
R11921__cytop,0.0,0.0
R05637__chlo,0.005610528367250116,0.005610528367250116
R08344__e_r_,0.0,0.0
R05616__mito,0.0,0.0
R09465__cytop,0.0,0.0
R10288__chlo,0.0,0.0
R05640__e_r_,0.0,0.0
R00475__pero,0.0,0.0
R02558__cytop,0.0,0.0
R01752__mito,0.0,0.0
EX_C00777__dra,0.0,0.0
R04749__mito,0.0,0.0
R04208__mito,0.0,0.0
R01361__cytop,0.0,0.0
R08174__mito,0.0,0.0
R04198__chlo,0.0,0.0
R01372__cytop,0.0,0.0
T_OOA__permem,0.0,0.0
R04964__mito,0.0,0.0
TO0000304_PLAS__plas,0.0,0.0
R04798__chlo,0.0,0.0
R03161__cytop,0.0,0.0
R10992__cytop,0.0,0.0
R03313__cytop,0.001426214906410134,0.001426214906410134
R00995__mito,0.0,0.0
R00513__cytop,0.0,0.0
TO1000053_PLAS__plas,0.0,0.0
R02530__chlo,0.0,0.0
R07100__e_r_,0.0,0.0
T_AMETtn__nucmem,0.0,0.0
R07364__cytop,9.312286798947667e-05,9.312286798947667e-05
R00307__cytop,0.0,0.0
T_PNC_V1__permem,0.0,0.0
R00927__cytop,0.0,0.0
R10280__mito,0.0,0.0
R04967__chlo,0.009692144242233676,0.009692144242233676
R07215__e_r_,0.0,0.0
R10764__cytop,0.0,0.0
T_Oxygen_V4__permem,-0.026935002662797088,-0.026935002662797088
R00658__chlo,0.0870369594549001,0.0870369594549001
R10170__mito,0.0,0.0
R08179__mito,0.0,0.0
EX_e_Biomass__dra,0.010041327328290899,0.010041327328290899
R04744__mito,0.0,0.0
R08258__extr,0.0,0.0
R05800__cytop,0.0,0.0
R00155__cytop,0.0,0.0
R00548__chlo,0.0,0.0
EX_C00267__dra,0.0,0.0
R11099__cytop,0.0,0.0
RXN_11878__e_r_,0.0,0.0
R00513__nucl,0.0,0.0
R04691__cytop,0.0,0.0
R01799__mito,0.0,0.0
R02565__mito,0.0,0.0
R04969__mito,0.0,0.0
R00390__mito,0.0,0.0
PRISM_fluorescent_cool_215W__extr,1.0,1.0
R07046__e_r_,0.0,0.0
R04533__mito,0.0,0.0
R04756__chlo,0.0,0.0
R02251__chlo,0.0,0.0
T_Hydrogen_V1__chlomem,0.023698116590045,0.023698116590045
R10124__mito,1.8099492509244348e-06,1.8099492509244348e-06
R02404__mito,0.0,0.0
R02581__chlo,0.0,0.0
TO1100073_PLAS__plas,0.0,0.0
